"Species_Scientific_Name","family","genus"
"Musca domestica","Muscidae","Musca"
"Nabidae","Nabidae",NA
"Neoseiulus cucumeris","Phytoseiidae","Neoseiulus"
"Nilaparvata lugens","Delphacidae","Nilaparvata"
"Orius insidiosus","Anthocoridae","Orius"
"Phlebotomus sp.","Psychodidae","Phlebotomus"
"Phyllocnistis citrella","Gracillariidae","Phyllocnistis"
"Phytoseiulus persimilis","Phytoseiidae","Phytoseiulus"
"Popillia japonica","Scarabaeidae","Popillia"
"Scirpophaga incertulas","Crambidae","Scirpophaga"
"Sogatella furcifera","Delphacidae","Sogatella"
"Spalangia endius","Pteromalidae","Spalangia"
"Stephanitis pyrioides","Tingidae","Stephanitis"
"Tetranychus cinnabarinus","Tetranychidae","Tetranychus"
"Thripidae","Thripidae",NA
"Trichogramma chilonis","Trichogrammatidae","Trichogramma"
"Trichogramma dendrolimi","Trichogrammatidae","Trichogramma"
"Trichogramma ostriniae","Trichogrammatidae","Trichogramma"
"Trichogramma pretiosum","Trichogrammatidae","Trichogramma"
"Unaspis euonymi","Diaspididae","Unaspis"
"Urolepis rufipes","Pteromalidae","Urolepis"
"Xyleborinus andrewesi","Curculionidae","Xyleborinus"
"Xyleborinus saxeseni","Curculionidae","Xyleborinus"
"Xyleborus ferrugineus","Curculionidae","Xyleborus"
"Xyleborus glabratus","Curculionidae","Xyleborus"
"Xyleborus volvulus","Curculionidae","Xyleborus"
"Xylosandrus crassiusculus","Curculionidae","Xylosandrus"
"Zygogramma bicolorata","Chrysomelidae","Zygogramma"
"Acalymma vittatum","Chrysomelidae","Acalymma"
"Acantholyda erythrocephala","Pamphiliidae","Acantholyda"
"Acyrthosiphon kondoi","Aphididae","Acyrthosiphon"
"Acyrthosiphon pisum","Aphididae","Acyrthosiphon"
"Adalia bipunctata","Coccinellidae","Adalia"
"Adalia decempunctata","Coccinellidae","Adalia"
"Adelges tsugae","Adelgidae","Adelges"
"Adelphocoris lineolatus","Miridae","Adelphocoris"
"Ageniaspis citricola","Encyrtidae","Ageniaspis"
"Agonoscena pistaciae","Aphalaridae","Agonoscena"
"Agriotes lineatus","Elateridae","Agriotes"
"Agriotes obscurus","Elateridae","Agriotes"
"Aleurocanthus woglumi","Aleyrodidae","Aleurocanthus"
"Aleurodicus dispersus","Aleyrodidae","Aleurodicus"
"Amblyseius sp.","Phytoseiidae","Amblyseius"
"Amrasca biguttula","Cicadellidae","Amrasca"
"Anagrus nilaparvatae","Mymaridae","Anagrus"
"Anagyrus pseudococci","Encyrtidae","Anagyrus"
"Anastrepha suspensa","Tephritidae","Anastrepha"
"Andricus sp.","Cynipidae","Andricus"
"Anomala orientalis","Scarabaeidae","Anomala"
"Anopheles stephensi","Culicidae","Anopheles"
"Anthonomus eugenii","Curculionidae","Anthonomus"
"Antitrogus consanguineus","Scarabaeidae","Antitrogus"
"Antitrogus parvulus","Scarabaeidae","Antitrogus"
"Aonidiella aurantii","Diaspididae","Aonidiella"
"Apanteles subandinus","Braconidae","Apanteles"
"Aphelinidae","Aphelinidae",NA
"Aphelinus mali","Aphelinidae","Aphelinus"
"Aphidiidae","Braconidae",NA
"Aphidius colemani","Braconidae","Aphidius"
"Aphidius ervi","Braconidae","Aphidius"
"Aphis citricola","Aphididae","Aphis"
"Aphis craccivora","Aphididae","Aphis"
"Aphis glycines","Aphididae","Aphis"
"Aphis medicaginis","Aphididae","Aphis"
"Aphis nerii","Aphididae","Aphis"
"Aphis pomi","Aphididae","Aphis"
"Aphis spiraecola","Aphididae","Aphis"
"Aphytis melinus","Aphelinidae","Aphytis"
"Apis florea","Apidae","Apis"
"Apis mellifera ligustica","Apidae","Apis"
"Arge ochropus","Argidae","Arge"
"Ataenius spretulus","Scarabaeidae","Ataenius"
"Atomaria linearis","Cryptophagidae","Atomaria"
"Avetianella longoi","Encyrtidae","Avetianella"
"Bactericera cockerelli","Triozidae","Bactericera"
"Bathyplectes sp.","Ichneumonidae","Bathyplectes"
"Bemisia argentifolii","Aleyrodidae","Bemisia"
"Bemisia tabaci","Aleyrodidae","Bemisia"
"Blosyrus asellus","Curculionidae","Blosyrus"
"Bombus impatiens","Apidae","Bombus"
"Bombus occidentalis","Apidae","Bombus"
"Bombus terrestris","Apidae","Bombus"
"Bombus vosnesenskii","Apidae","Bombus"
"Bombyx mori","Bombycidae","Bombyx"
"Bracon brevicornis","Braconidae","Bracon"
"Bracon hebetor","Braconidae","Habrobracon"
"Braconidae","Braconidae",NA
"Brumoides suturalis","Coccinellidae","Brumoides"
"Cacopsylla pyricola","Psyllidae","Cacopsylla"
"Campoletis sonorensis","Ichneumonidae","Campoletis"
"Carabidae","Carabidae",NA
"Ceratitis capitata","Tephritidae","Ceratitis"
"Cerconota anonella","Depressariidae","Cerconota"
"Ceutorhynchus assimilis","Curculionidae","Ceutorhynchus"
"Ceutorhynchus obstrictus","Curculionidae","Ceutorhynchus"
"Chaetocnema pulicaria","Chrysomelidae","Chaetocnema"
"Chauliognathus flavipes","Cantharidae","Chauliognathus"
"Cheilomenes sexmaculata","Coccinellidae","Cheilomenes"
"Chelonus blackburni","Braconidae","Chelonus"
"Chilo auricilius","Crambidae","Chilo"
"Chilo partellus","Crambidae","Chilo"
"Chilocorus cacti","Coccinellidae","Chilocorus"
"Choristoneura rosaceana","Tortricidae","Choristoneura"
"Chrysocharis pentheus","Eulophidae","Chrysocharis"
"Chrysomelidae","Chrysomelidae",NA
"Chrysopa phyllochroma","Chrysopidae","Chrysopa"
"Chrysoperla carnea","Chrysopidae","Chrysoperla"
"Chrysoperla nipponensis","Chrysopidae","Chrysoperla"
"Chrysopidae","Chrysopidae",NA
"Coccinella sp.","Coccinellidae","Coccinella"
"Coccinella transversalis","Coccinellidae","Coccinella"
"Coccinella undecimpunctata","Coccinellidae","Coccinella"
"Coccus pseudomagnoliarum","Coccidae","Coccus"
"Coccus viridis","Coccidae","Coccus"
"Coleomegilla maculata","Coccinellidae","Coleomegilla"
"Colpoclypeus florus","Eulophidae","Colpoclypeus"
"Comperiella bifasciata","Encyrtidae","Comperiella"
"Conopomorpha sinensis","Gracillariidae","Conopomorpha"
"Conotrachelus nenuphar","Curculionidae","Conotrachelus"
"Copidosoma koehleri","Encyrtidae","Copidosoma"
"Coptotermes formosanus","Rhinotermitidae","Coptotermes"
"Corythucha cydoniae","Tingidae","Corythucha"
"Cotesia flavipes","Braconidae","Cotesia"
"Cotesia marginiventris","Braconidae","Cotesia"
"Cotinis nitida","Scarabaeidae","Cotinis"
"Creontiades signatus","Miridae","Creontiades"
"Ctenocephalides felis felis","Pulicidae","Ctenocephalides"
"Culex quinquefasciatus","Culicidae","Culex"
"Cycloneda sanguinea","Coccinellidae","Cycloneda"
"Cydia pomonella","Tortricidae","Cydia"
"Danaus plexippus","Nymphalidae","Danaus"
"Delia radicum","Anthomyiidae","Delia"
"Deraeocoris nebulosus","Miridae","Deraeocoris"
"Dermolepida albohirtum","Scarabaeidae","Dermolepida"
"Diachasma alloeum","Braconidae","Diachasma"
"Diachasmimorpha longicaudata","Braconidae","Diachasmimorpha"
"Diadegma insulare","Ichneumonidae","Diadegma"
"Diaeretiella rapae","Braconidae","Diaeretiella"
"Diaphorina citri","Liviidae","Diaphorina"
"Diaprepes abbreviatus","Curculionidae","Diaprepes"
"Diaspidiotus perniciosus","Diaspididae","Diaspidiotus"
"Diuraphis noxia","Aphididae","Diuraphis"
"Dolichoderinae","Formicidae",NA
"Drepanaphis acerifoliae","Aphididae","Drepanaphis"
"Dysaphis plantaginea","Aphididae","Dysaphis"
"Dysdercus koenigii","Pyrrhocoridae","Dysdercus"
"Elateridae","Elateridae",NA
"Emmalocera depressella","Pyralidae","Polyocha"
"Encarsia formosa","Aphelinidae","Encarsia"
"Encarsia guadeloupae","Aphelinidae","Encarsia"
"Encarsia hispida","Aphelinidae","Encarsia"
"Encarsia inaron","Aphelinidae","Encarsia"
"Encarsia meritoria","Aphelinidae","Encarsia"
"Episyrphus balteatus","Syrphidae","Episyrphus"
"Epitrix hirtipennis","Chrysomelidae","Epitrix"
"Eretmocerus eremicus","Aphelinidae","Eretmocerus"
"Eretmocerus hayati","Aphelinidae","Eretmocerus"
"Eretmocerus mundus","Aphelinidae","Eretmocerus"
"Euetheola humilis","Scarabaeidae","Euetheola"
"Euschistus heros","Pentatomidae","Euschistus"
"Euseius gallicus","Phytoseiidae","Euseius"
"Euseius tularensis","Phytoseiidae","Euseius"
"Euwallacea sp.","Curculionidae","Euwallacea"
"Fenusa pusilla","Tenthredinidae","Fenusa"
"Formica rufa","Formicidae","Formica"
"Formicidae","Formicidae",NA
"Frankliniella fusca","Thripidae","Frankliniella"
"Frankliniella occidentalis","Thripidae","Frankliniella"
"Geocoridae","Geocoridae",NA
"Glyphodes pyloalis","Crambidae","Glyphodes"
"Gnathonarium exsiccatum","Linyphiidae","Gnathonarium"
"Gonatocerus ashmeadi","Mymaridae","Cosmocomoidea"
"Habrobracon hebetor","Braconidae","Habrobracon"
"Helicoverpa armigera","Noctuidae","Helicoverpa"
"Heliothis virescens","Noctuidae","Heliothis"
"Hippodamia undecimnotata","Coccinellidae","Hippodamia"
"Hippodamia variegata","Coccinellidae","Hippodamia"
"Histeridae","Histeridae",NA
"Holotrichia reynaudi","Scarabaeidae","Holotrichia"
"Holotrichia serrata","Scarabaeidae","Holotrichia"
"Homalodisca vitripennis","Cicadellidae","Homalodisca"
"Hyposoter didymator","Ichneumonidae","Hyposoter"
"Icerya purchasi","Monophlebidae","Icerya"
"Ichneumonidae","Ichneumonidae",NA
"Jalysus wickhami","Berytidae","Jalysus"
"Kampimodromus aberrans","Phytoseiidae","Kampimodromus"
"Lacanobia subjuncta","Noctuidae","Lacanobia"
"Lampides boeticus","Lycaenidae","Lampides"
"Laodelphax striatellus","Delphacidae","Laodelphax"
"Laricobius nigrinus","Derodontidae","Laricobius"
"Lasius neoniger","Formicidae","Lasius"
"Lasius sp.","Formicidae","Lasius"
"Leguminivora ptychora","Tortricidae","Leguminivora"
"Lepidiota negatoria","Scarabaeidae","Lepidiota"
"Leptocybe invasa","Eulophidae","Leptocybe"
"Leptopilina boulardi","Figitidae","Leptopilina"
"Leucinodes orbonalis","Crambidae","Leucinodes"
"Leucopholis burmeisteri","Scarabaeidae","Leucopholis"
"Limonius californicus","Elateridae","Limonius"
"Linepithema humile","Formicidae","Linepithema"
"Linyphiidae","Linyphiidae",NA
"Liriomyza trifolii","Agromyzidae","Liriomyza"
"Lycosa terrestris","Lycosidae","Lycosa"
"Lycosidae","Lycosidae",NA
"Lygaeidae","Lygaeidae",NA
"Lygus lineolaris","Miridae","Lygus"
"Lygus sp.","Miridae","Lygus"
"Lysiphlebus fabarum","Braconidae","Lysiphlebus"
"Lysiphlebus testaceipes","Braconidae","Lysiphlebus"
"Macrolophus pygmaeus","Miridae","Macrolophus"
"Maruca testulalis","Crambidae","Maruca"
"Megachile rotundata","Megachilidae","Megachile"
"Megalurothrips distalis","Thripidae","Megalurothrips"
"Melanagromyza sojae","Agromyzidae","Melanagromyza"
"Melanotus depressus","Elateridae","Melanotus"
"Melipona quadrifasciata","Apidae","Melipona"
"Melipona scutellaris","Apidae","Melipona"
"Metaseiulus occidentalis","Phytoseiidae","Galendromus"
"Metopolophium dirhodum","Aphididae","Metopolophium"
"Micromus tasmaniae","Hemerobiidae","Micromus"
"Microplitis croceipes","Braconidae","Microplitis"
"Mononychellus tanajoa","Tetranychidae","Mononychellus"
"Myzus nicotianae","Aphididae","Myzus"
"Myzus persicae","Aphididae","Myzus"
"Nabis kinbergii","Nabidae","Nabis"
"Nannotrigona perilampoides","Apidae","Nannotrigona"
"Nasonia vitripennis","Pteromalidae","Nasonia"
"Neochrysocharis formosa","Eulophidae","Neochrysocharis"
"Neochrysocharis okazakii","Eulophidae","Neochrysocharis"
"Neoseiulus baraki","Phytoseiidae","Neoseiulus"
"Neoseiulus californicus","Phytoseiidae","Neoseiulus"
"Neoseiulus fallacis","Phytoseiidae","Neoseiulus"
"Nephotettix cincticeps","Cicadellidae","Nephotettix"
"Nephotettix virescens","Cicadellidae","Nephotettix"
"Neurocolpus nubilus","Miridae","Neurocolpus"
"Nezara viridula","Pentatomidae","Nezara"
"Nitidulidae","Nitidulidae",NA
"Noctuidae","Noctuidae",NA
"Nomia melanderi","Halictidae","Nomia"
"Oedothorax apicatus","Linyphiidae","Oedothorax"
"Oligonychus aceris","Tetranychidae","Oligonychus"
"Olla v-nigrum","Coccinellidae","Olla"
"Ommatissus lybicus","Tropiduchidae","Ommatissus"
"Ophelimus maskelli","Eulophidae","Ophelimus"
"Oppia nitens","Oppiidae","Oppia"
"Orgilus lepidus","Braconidae","Orgilus"
"Oribotritiidae","Oribotritiidae",NA
"Orius laevigatus","Anthocoridae","Orius"
"Orius majusculus","Anthocoridae","Orius"
"Orius tristicolor","Anthocoridae","Orius"
"Osmia cornifrons","Megachilidae","Osmia"
"Osmia lignaria","Megachilidae","Osmia"
"Otiorhynchus sulcatus","Curculionidae","Otiorhynchus"
"Oxycarenus hyalinipennis","Oxycarenidae","Oxycarenus"
"Oxyopes javanus","Oxyopidae","Oxyopes"
"Paederus fuscipes","Staphylinidae","Paederus"
"Panonychus citri","Tetranychidae","Panonychus"
"Panonychus ulmi","Tetranychidae","Panonychus"
"Pardosa agrestis","Lycosidae","Pardosa"
"Pardosa lugubris","Lycosidae","Pardosa"
"Pardosa pseudoannulata","Lycosidae","Pardosa"
"Partamona helleri","Apidae","Partamona"
"Pemphredon fabricii","Crabronidae","Pemphredon"
"Pentalonia nigronervosa","Aphididae","Pentalonia"
"Phenacoccus solenopsis","Pseudococcidae","Phenacoccus"
"Philodromus cespitum","Philodromidae","Philodromus"
"Pholcus phalangioides","Pholcidae","Pholcus"
"Phorodon humuli","Aphididae","Phorodon"
"Phthorimaea operculella","Gelechiidae","Phthorimaea"
"Phyllocoptruta oleivora","Eriophyidae","Phyllocoptruta"
"Phylloneta impressa","Theridiidae","Phylloneta"
"Phyllonorycter blancardella","Gracillariidae","Phyllonorycter"
"Phyllotreta cruciferae","Chrysomelidae","Phyllotreta"
"Phyllotreta sp.","Chrysomelidae","Phyllotreta"
"Phytoseiidae","Phytoseiidae",NA
"Phytoseiulus macropilis","Phytoseiidae","Phytoseiulus"
"Pieris brassicae","Pieridae","Pieris"
"Pinnaspis strachani","Diaspididae","Pinnaspis"
"Planococcus citri","Pseudococcidae","Planococcus"
"Plebeia droryana","Apidae","Plebeia"
"Plutella xylostella","Plutellidae","Plutella"
"Podisus maculiventris","Pentatomidae","Podisus"
"Polyphagotarsonemus latus","Tarsonemidae","Polyphagotarsonemus"
"Proprioseiopsis sp.","Phytoseiidae","Proprioseiopsis"
"Propylaea japonica","Coccinellidae","Propylea"
"Pseudococcidae","Pseudococcidae",NA
"Pseudococcus viburni","Pseudococcidae","Pseudococcus"
"Pseudomallada astur","Chrysopidae","Apertochrysa"
"Psyttalia concolor","Braconidae","Psyttalia"
"Pyralidae","Pyralidae",NA
"Quadrastichus erythrinae","Eulophidae","Quadrastichus"
"Reticulitermes chinensis","Rhinotermitidae","Reticulitermes"
"Reticulitermes flavipes","Rhinotermitidae","Reticulitermes"
"Rhagoletis mendax","Tephritidae","Rhagoletis"
"Rhagoletis pomonella","Tephritidae","Rhagoletis"
"Rhodacaridae","Rhodacaridae",NA
"Rhopalosiphum maidis","Aphididae","Rhopalosiphum"
"Rhopalosiphum padi","Aphididae","Rhopalosiphum"
"Rhyzobius lophanthae","Coccinellidae","Rhyzobius"
"Riptortus pedestris","Alydidae","Riptortus"
"Rodolia cardinalis","Coccinellidae","Rodolia"
"Sasajiscymnus tsugae","Coccinellidae","Sasajiscymnus"
"Scapteriscus vicinus","Gryllotalpidae","Neoscapteriscus"
"Scaptotrigona postica","Apidae","Scaptotrigona"
"Scaptotrigona xanthotricha","Apidae","Scaptotrigona"
"Scarabaeidae","Scarabaeidae",NA
"Schizaphis graminum","Aphididae","Schizaphis"
"Sciothrips cardamomi","Thripidae","Sciothrips"
"Scirpophaga excerptalis","Crambidae","Scirpophaga"
"Scirtothrips dorsalis","Thripidae","Scirtothrips"
"Scolothrips takahashii","Thripidae","Scolothrips"
"Scutigerella immaculata","Scutigerellidae","Scutigerella"
"Scymnus coccivora","Coccinellidae","Scymnus"
"Scymnus sp.","Coccinellidae","Scymnus"
"Singhiella simplex","Aleyrodidae","Singhiella"
"Sitobion avenae","Aphididae","Sitobion"
"Sitona lineatus","Curculionidae","Sitona"
"Solenopsis invicta","Formicidae","Solenopsis"
"Solenopsis molesta","Formicidae","Solenopsis"
"Spilarctia obliqua","Erebidae","Spilarctia"
"Spodoptera eridania","Noctuidae","Spodoptera"
"Spodoptera exigua","Noctuidae","Spodoptera"
"Spodoptera littoralis","Noctuidae","Spodoptera"
"Spodoptera litura","Noctuidae","Spodoptera"
"Staphylinidae","Staphylinidae",NA
"Stethorus punctillum","Coccinellidae","Stethorus"
"Stethorus punctum","Coccinellidae","Stethorus"
"Strategus aloeus","Scarabaeidae","Strategus"
"Syngaster lepidus","Braconidae","Syngaster"
"Syrphidae","Syrphidae",NA
"Tamarixia radiata","Eulophidae","Tamarixia"
"Tamarixia triozae","Eulophidae","Tamarixia"
"Telenomus podisi","Scelionidae","Telenomus"
"Tenebrio molitor","Tenebrionidae","Tenebrio"
"Tetragnatha maxillosa","Tetragnathidae","Tetragnatha"
"Tetragnathidae","Tetragnathidae",NA
"Tetragonisca angustula","Apidae","Tetragonisca"
"Tetragonula iridipennis","Apidae","Tetragonula"
"Tetranychus urticae","Tetranychidae","Tetranychus"
"Therioaphis trifolii","Aphididae","Therioaphis"
"Thrips palmi","Thripidae","Thrips"
"Thrips tabaci","Thripidae","Thrips"
"Tortricidae","Tortricidae",NA
"Toxoneuron nigriceps","Braconidae","Toxoneuron"
"Toxoptera aurantii","Aphididae","Aphis"
"Trialeurodes vaporariorum","Aleyrodidae","Trialeurodes"
"Triatoma infestans","Reduviidae","Triatoma"
"Trichogramma achaeae","Trichogrammatidae","Trichogramma"
"Trichogramma brasiliensis","Trichogrammatidae","Trichogramma"
"Trichogramma brassicae","Trichogrammatidae","Trichogramma"
"Trichogramma cacoeciae","Trichogrammatidae","Trichogramma"
"Trichogramma evanescens","Trichogrammatidae","Trichogramma"
"Trichogramma japonicum","Trichogrammatidae","Trichogramma"
"Trichogramma nubilale","Trichogrammatidae","Trichogramma"
"Trichogramma platneri","Trichogrammatidae","Trichogramma"
"Trichoplusia ni","Noctuidae","Trichoplusia"
"Typhlocyba pomaria","Cicadellidae","Zonocyba"
"Typhlodromus athiasae","Phytoseiidae","Typhlodromus"
"Typhlodromus pyri","Phytoseiidae","Typhlodromus"
"Ulomoides dermestoides","Tenebrionidae","Ulomoides"
"Ummeliata insecticeps","Linyphiidae","Ummeliata"
"Vanessa cardui","Nymphalidae","Vanessa"
"Xylotrechus arvicola","Cerambycidae","Xylotrechus"
"Araecerus fasciculatus","Anthribidae","Araecerus"
"Spodoptera frugiperda","Noctuidae","Spodoptera"
"Aphelinus abdominalis","Aphelinidae","Aphelinus"
"Brassicogethes aeneus","Nitidulidae","Brassicogethes"
"Cacopsylla pyri","Psyllidae","Cacopsylla"
"Dolichogenidea tasmanica","Braconidae","Dolichogenidea"
"Forficula auricularia","Forficulidae","Forficula"
"Haplothrips tritici","Phlaeothripidae","Haplothrips"
"Heterotoma planicornis","Miridae","Heterotoma"
"Hoplocampa testudinea","Tenthredinidae","Hoplocampa"
"Hypoaspis aculeifer","Laelapidae","Gaeolaelaps"
"Lygus rugulipennis","Miridae","Lygus"
"Microplitis mediator","Braconidae","Microplitis"
"Pilophorus perplexus","Miridae","Pilophorus"
"Psylliodes chrysocephala","Chrysomelidae","Psylliodes"
"Pteromalidae","Pteromalidae",NA
"Rhopobota naevana","Tortricidae","Rhopobota"
"Acrosternum hilare","Pentatomidae","Acrosternum"
"Agrotis ipsilon","Noctuidae","Agrotis"
"Amblyseius swirskii","Phytoseiidae","Amblyseius"
"Aphelinus gossypii","Aphelinidae","Aphelinus"
"Aphidius matricariae","Braconidae","Aphidius"
"Apis mellifera iberiensis","Apidae","Apis"
"Blissus leucopterus","Blissidae","Blissus"
"Cephus cinctus","Cephidae","Cephus"
"Choristoneura parallela","Tortricidae","Choristoneura"
"Chrysoperla externa","Chrysopidae","Chrysoperla"
"Cnaphalocrocis medinalis","Crambidae","Cnaphalocrocis"
"Cochylis hospes","Tortricidae","Cochylis"
"Cotesia glomerata","Braconidae","Cotesia"
"Cryptolestes ferrugineus","Laemophloeidae","Cryptolestes"
"Eriopis connexa","Coccinellidae","Eriopis"
"Euborellia annulipes","Anisolabididae","Euborellia"
"Euschistus servus","Pentatomidae","Euschistus"
"Galleria mellonella","Pyralidae","Galleria"
"Gonipterus scutellatus","Curculionidae","Gonipterus"
"Homoeosoma electellum","Pyralidae","Homoeosoma"
"Iphiseius degenerans","Phytoseiidae","Iphiseius"
"Liposcelis paeta","Liposcelididae","Liposcelis"
"Listronotus oregonensis","Curculionidae","Listronotus"
"Melanotus cribulosus","Elateridae","Melanotus"
"Meromyza americana","Chloropidae","Meromyza"
"Mythimna separata","Noctuidae","Mythimna"
"Neotephritis finalis","Tephritidae","Neotephritis"
"Ooencyrtus nezarae","Encyrtidae","Ooencyrtus"
"Osmia rufa","Megachilidae","Osmia"
"Pachycrepoideus vindemmiae","Pteromalidae","Pachycrepoideus"
"Phauda flammans","Zygaenidae","Phauda"
"Platynus assimilis","Carabidae","Limodromus"
"Podisus nigrispinus","Pentatomidae","Podisus"
"Rhyzopertha dominica","Bostrichidae","Rhyzopertha"
"Scaptotrigona bipunctata","Apidae","Scaptotrigona"
"Serangium japonicum","Coccinellidae","Serangium"
"Sitophilus oryzae","Curculionidae","Sitophilus"
"Smicronyx fulvus","Curculionidae","Smicronyx"
"Smicronyx sordidus","Curculionidae","Smicronyx"
"Sparganothis sulfureana","Tortricidae","Sparganothis"
"Tribolium castaneum","Tenebrionidae","Tribolium"
"Trichogramma galloi","Trichogrammatidae","Trichogramma"
"Trichopria sp.","Diapriidae","Trichopria"
"Trissolcus nigripedius","Scelionidae","Trissolcus"
"Xyleborinus gracilis","Curculionidae","Xyleborinus"
"Apidae","Apidae",NA
"Bradysia odoriphaga","Sciaridae","Bradysia"
"Cicadella viridis","Cicadellidae","Cicadella"
"Copidosoma bakeri","Encyrtidae","Copidosoma"
"Cotesia vestalis","Braconidae","Cotesia"
"Delia antiqua","Anthomyiidae","Delia"
"Diabrotica virgifera","Chrysomelidae","Diabrotica"
"Drosophila melanogaster","Drosophilidae","Drosophila"
"Harpalus pennsylvanicus","Carabidae","Harpalus"
"Orseolia oryzae","Cecidomyiidae","Orseolia"
"Osmia cornuta","Megachilidae","Osmia"
"Osmia excavata","Megachilidae","Osmia"
"Thrips alliorum","Thripidae","Thrips"
"Varroa destructor","Varroidae","Varroa"
"Acerophagus flavidulus","Encyrtidae","Acerophagus"
"Amyelois transitella","Pyralidae","Amyelois"
"Antheraea assamensis","Saturniidae","Antheraea"
"Anthocoridae","Anthocoridae",NA
"Anthonomus rubi","Curculionidae","Anthonomus"
"Aphidoletes aphidimyza","Cecidomyiidae","Aphidoletes"
"Asecodes hispinarum","Eulophidae","Asecodes"
"Bemisia sp.","Aleyrodidae","Bemisia"
"Bombus hypocrita","Apidae","Bombus"
"Bombus ignitus","Apidae","Bombus"
"Bombus patagiatus","Apidae","Bombus"
"Bombus sp.","Apidae","Bombus"
"Brontispa longissima","Chrysomelidae","Brontispa"
"Chaetosiphon fragaefolii","Aphididae","Chaetosiphon"
"Chromatomyia horticola","Agromyzidae","Chromatomyia"
"Collops vittatus","Melyridae","Collops"
"Delphastus catalinae","Coccinellidae","Delphastus"
"Encyrtidae","Encyrtidae",NA
"Epuraea luteola","Nitidulidae","Epuraea"
"Eulophidae","Eulophidae",NA
"Eupelmidae","Eupelmidae",NA
"Frankliniella bispinosa","Thripidae","Frankliniella"
"Frankliniella tritici","Thripidae","Frankliniella"
"Geocoris pallens","Geocoridae","Geocoris"
"Grapholita molesta","Tortricidae","Grapholita"
"Harpalus rufipes","Carabidae","Harpalus"
"Lipaphis pseudobrassicae","Aphididae","Lipaphis"
"Lygus hesperus","Miridae","Lygus"
"Mecaphesa celer","Thomisidae","Mecaphesa"
"Mymaridae","Mymaridae",NA
"Nabis alternatus","Nabidae","Nabis"
"Nesidiocoris tenuis","Miridae","Nesidiocoris"
"Oenopia conglobata","Coccinellidae","Oenopia"
"Oomyzus sokolowskii","Eulophidae","Oomyzus"
"Pezothrips kellyanus","Thripidae","Pezothrips"
"Pieris rapae","Pieridae","Pieris"
"Platygastridae","Platygastridae",NA
"Plebeia emerina","Apidae","Plebeia"
"Proctotrupidae","Proctotrupidae",NA
"Pseudatomoscelis seriatus","Miridae","Pseudatomoscelis"
"Pseudodendrothrips mori","Thripidae","Pseudodendrothrips"
"Salticidae","Salticidae",NA
"Scelionidae","Scelionidae",NA
"Serangium parcesetosum","Coccinellidae","Serangium"
"Spanagonicus albofasciatus","Miridae","Spanagonicus"
"Tetragonisca fiebrigi","Apidae","Tetragonisca"
"Trichogrammatidae","Trichogrammatidae",NA
"Tuta absoluta","Gelechiidae","Tuta"
"Zelus renardii","Reduviidae","Zelus"
