Test_Location,Chemical_Name,Chemical_Grade,Chemical_Analysis_Method,Chemical_Purity_Mean_,Species_Scientific_Name,Species_Common_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Min,Organism_Age_Max,Organism_Age_Units,Exposure_Type,Media_Type,Number_of_Doses,Conc_1_Type_Author,Conc_1_Mean_Author,Conc_Min_1_Author,Conc_1_Max_Author,Conc_1_Units_Author,Effect,Effect_Measurement,Endpoint,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,Response_Site,Observed_Duration_Days,Observed_Duration_Min_Days,Observed_Duration_Max_Days,Observed_Duration_Units_Days,Type,Measurement,Behavior,Nutrition,Location_GPS,Temperature_C,Humidity_%,Rainfall,Genomics,Bee_Strain_Origin,Other notes,Author,Reference_Number,Title,Source,Publication_Year,
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Measured,NR,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,Food,No substrate,3,Active ingredient,1.62,NR,NR,ppb diet,Immunological,Infected,LOEL,1.62,NR,NR,ppb diet,NR,68,NR,NR,Day(s),worker,individual,N,N,NR,NR,NR,NR,NR,NR,Nosema counts of bees following exposure,"Pettis,J.S., D. VanEngelsdorp, J. Johnson, and G. Dively",159245,Pesticide Exposure in Honey Bees Results in Increased Levels of the Gut Pathogen Nosema,Naturwissenschaften99:153-158,2012,NA
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,"Technical grade, technical product, technical formulation",Measured,99.5,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,5,Active ingredient,32.9,NR,NR,ppb diet,Intoxication,Immobile,LOEL,32.9,NR,NR,ppb diet,NR,21,NR,NR,Day(s),queen,individual (queen) and colony (development),Y,N,"44.95997013902116, -93.07494344917",23-25,70,NR,NR,"Chaska, MN",Study on queens (mentionned that neonics effects on queens = understudied) / sub-lethal effects / rainfall not relevant (in sheds),"Wu-Smart,J., and M. Spivak",184369,Sub-Lethal Effects of Dietary Neonicotinoid Insecticide Exposure on Honey Bee Queen Fecundity and Colony Development,Sci. Rep.6:11 p.,2016,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Environmental, unspecified",Natural soil,2,Formulation,0.5,NR,NR,lb/acre,Mortality,Mortality,LOEL,0.5,NR,NR,lb/acre,NR,1,NR,NR,Day(s),worker,individual,N,N,NR,25 ± 1,60 ± 5,NR,NR,"University of Florida Citrus Research and Education Center (CREC) in Lake Alfred, Florida",This is not a field study; not sure why EPA reported it as a field study. LD50s were determined in the lab.,"Chen,X.D., T.A. Gill, K.S. Pelz-Stelinski, and L.L. Stelinski",175348,"Risk Assessment of Various Insecticides Used for Management of Asian Citrus Psyllid, Diaphorina citri in Florida Citrus, Against Honey Bee, Apis mellifera",Ecotoxicology26(3): 351-359,2017,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,17.8,Apis mellifera,Honey Bee,Adult,NR,NR,NR,NR,"Environmental, unspecified",No substrate,2,Active ingredient,20,NR,NR,AI g/ha,Mortality,Mortality,NR,20,NR,NR,AI g/ha,NR,1,NR,NR,Day(s),worker,NR,N,N,"19°20'31""N, 74°38'46""E",10.75-29.9,23.5-54.2,nil,NR,NR,"Bee collected at Mahatma Phule Krishi Vidyapeeth / Measured PT50 Rahuri (Maharashtra), India","Pashte,V.V., and C.S. Patil",184355,Evaluation of Persistence of Insecticide Toxicity in Honey Bees (Apis mellifera L.),Indian J. Biochem. Biophys.54(3-4): 150-155,2017,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Chemical analysis reported,42.8,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Diet, unspecified",No substrate,4,Active ingredient,NR,19.8,20,ug/kg diet,Mortality,Survival,LOEL,NR,19.8,20,ug/kg diet,NR,304.4,NR,NR,Day(s),"worker, queen",colony,Y,N,"University of Maryland research farm at Beltsville, MD",NR,,NR,NR,"Wilbanks Apiaries; Claxton, GA, USA","Here we present results of a three-year study to determine the fate of imidacloprid residues in hive matrices and to assess chronic sublethal effects on whole honey bee colonies fed supplemental pollen diet containing imidacloprid at 5, 20 and 100 μg/kg over multiple brood cycles. Various endpoints of colony performance and foraging behavior were measured during and after exposure, including winter survival. Imidacloprid residues became diluted or non-detectable within colonies due to the processing of beebread and honey and the rapid metabolism of the chemical. Imidacloprid exposure doses up to 100 μg/kg had no significant effects on foraging activity or other colony performance indicators during and shortly after exposure. Diseases and pest species did not affect colony health but infestations of Varroa mites were significantly higher in exposed colonies. Honey stores indicated that exposed colonies may have avoided the contaminated food. Imidacloprid dose effects was delayed later in the summer, when colonies exposed to 20 and 100 μg/kg experienced higher rates of queen failure and broodless periods, which led to weaker colonies going into the winter. Pooled over two years, winter survival of colonies averaged 85.7, 72.4, 61.2 and 59.2% in the control, 5, 20 and 100 μg/kg treatment groups, respectively. Analysis of colony survival data showed a significant dose effect, and all contrast tests comparing survival between control and treatment groups were significant, except for colonies exposed to 5 μg/kg. Given the weight of evidence, chronic exposure to imidacloprid at the higher range of field doses (20 to 100 μg/kg) in pollen of certain treated crops could cause negative impacts on honey bee colony health and reduced overwintering success, but the most likely encountered high range of field doses relevant for seed-treated crops (5 μg/kg) had negligible effects on colony health and are unlikely a sole cause of colony declines.","Dively,G.P., M.S. Embrey, A. Kamel, D.J. Hawthorne, and J.S. Pettis",184198,Assessment of Chronic Sublethal Effects of Imidacloprid on Honey Bee Colony Health,PLoS One10(3): 1-25,2015,NA
Field artificial,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Environmental, unspecified",Filter paper,1,Formulation,50,NR,NR,ppm,Mortality,Mortality,NR-ZERO,50,NR,NR,ppm,NR,,2,5,Day(s),worker,NR,Y,N,79°390E Lat. and 29°350 N Long,NR,NR,NR,NR,NR,Behavior - flower visit after treatment / tested two honey bee species (A. mellifera and A. cerana),"Stanley,J., K. Sah, S.K. Jain, J.C. Bhatt, and S.N. Sushil",168437,"Evaluation of Pesticide Toxicity at Their Field Recommended Doses to Honeybees, Apis cerana and A. mellifera Through Laboratory, Semi-Field and Field Studies",Chemosphere119:668-674,2015,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Pestanal grade,Measured,99.9,Apis mellifera,Honey Bee,Multiple,NR,NR,NR,NR,Food,No substrate,3,Active ingredient,NR,9.9,18.7,ng/g diet,Population,Weight,LOEL,NR,9.9,18.7,ng/g diet,NR,63,NR,NR,Day(s),worker,colony,N,N,"52°01'50.6""N 106°32'26.6""W",NR,,NR,NR,"Kintail Honey (Takapau, New Zealand) in association with Apiflora NZ Ltd (Tauranga, New Zealand)","There was a significant negative effect (-30%, p<0.01) on colony weight gain (honey production) after 9 and 12 weeks of exposure to 80 nM of thiamethoxam, clothianidin, or imidacloprid and on bee cluster size (-21%, p<0.05) after 12 weeks. Analysis of brood area and number of adult bees lacked adequate (>80%) statistical power to detect an effect.","Wood,S.C., I.V. Kozii, R.V. Koziy, T. Epp, and E. Simko",183779,Comparative Chronic Toxicity of Three Neonicotinoids on New Zealand Packaged Honey Bees,PLoS One13(1): 19 p.,2018,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,Food,No substrate,2,Formulation,0.74,NR,NR,ng/org/d,Population,Abundance,LOEL,0.74,NR,NR,ng/org/d,NR,NR,187,276,Day(s),worker,colony,N,N,"Five hives were setup in each of four apiar- ies about 12 kilometers apart in southern Worcester County located in Central Massachusetts, USA",NR,,NR,NR,"Rossman Apiaries Inc., Moultrie, Georgia","Honey bee (Apis mellifera L.) colony collapse disorder (CCD) that appeared in 2005/2006 still lingers in many parts of the world. Here we show that sub-lethal exposure of neonicotinoids, imidacloprid or clothianidin, affected the winterization of healthy colo- nies that subsequently leads to CCD. We found honey bees in both control and neonicotinoid-treated groups progressed almost identically through the summer and fall seasons and observed no acute morbidity or mortality in either group until the end of win- ter. Bees from six of the twelve neonicotinoid-treated colonies had abandoned their hives, and were eventually dead with symp- toms resembling CCD. However, we observed a complete opposite phenomenon in the control colonies in which instead of aban- donment, they were re-populated quickly with new emerging bees. Only one of the six control colonies was lost due to Nosema- like infection. The observations from this study may help to elucidate the mechanisms by which sub-lethal neonicotinoids expo- sure caused honey bees to vanish from their hives.","Lu,C., K.M. Warchol, and R.A. Callahan",173369,Sub-Lethal Exposure to Neonicotinoids Impaired Honey Bees Winterization Before Proceeding to Colony Collapse Disorder,Bull. Insectol.67(1): 125-130,2014,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Measured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Environmental, unspecified",Litter,2,Active ingredient,0.5,NR,NR,ng/g,Population,Abundance,NOEL,0.5,NR,NR,ng/g,NR,53,NR,NR,Day(s),worker,colony,N,N,NR,NR,,NR,NR,NR,,"Pohorecka,K., P. Skubida, P. Semkiw, A. Miszczak, D. Teper, P. Sikorski, K. Zagibajlo, M. Skubida, D. Zdanska, and A. B",183678,Effects of Exposure of Honey Bee Colonies to Neonicotinoid Seed-Treated Maize Crops,J. Apic. Sci.57(2): 199-208,2013,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,NR,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Ground, granular",No substrate,2,Active ingredient,45.9,NR,NR,AI g/ha,Population,Abundance,NOEL,45.9,NR,NR,AI g/ha,NR,74,NR,NR,Day(s),NR,NR,N,N,"Elsa, TX, on a research farm maintained by the USDAÐARS Subtroptical Agricultural Research Center, Weslaco, TX",NR,,NR,NR,a commercial pollination service was contracted to position managed honey bee hives at the four corners of the entire Þeld,"This study does not investigate effects on honeybees but on pollination services // The application of azadirachtin to foliage of cantaloupes did not signiÞcantly reduce successful pollination by commercially managed honey bees, Apis mellifera L., as measured by numbers of foraging honey bees and yield. Similar results were obtained when the synthetic insecticide imidacloprid (used as a standard by cantaloupe growers) was applied to the soil. Fruit yield and quality, as a function of bee pollination, were statistically equal between the two treatments, and equal to that of the untreated control. The standard treatment of imidacloprid gave signiÞcantly better control than azadirachtin of one pest (cucumber beetle) early in the season. Fruit maturity was delayed in untreated plots, consistent with light insect pressure observed. These results indicate that an organ- ically based insect control approach will not alter bloom acceptance and bee forager activity in cantaloupes.","Elzen,P.J., G.W. Elzen, and G.E. Lester",87490,Compatibility of an Organically Based Insect Control Program with Honey Bee (Hymenoptera: Apidae) Pollination in Cantaloupes,J. Econ. Entomol.97(5): 1513-1516,2004,NA
Field natural,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Analytical grade,Unmeasured,NR,Apis mellifera,Honey Bee,NR,NR,NR,NR,NR,"Diet, unspecified",No substrate,4,Active ingredient,5,NR,NR,ppb diet,Population,Surface Area,LOEL,5,NR,NR,ppb diet,NR,NR,32,95,Day(s),worker,colony,Y,Y,32° 15' 12.4560'' N,NR,,NR,NR,"C.F. Koehnen & Sons, Inc., Glenn, CA 95943","The focus of this work was on colony-level behaviors such as brood rearing, foraging activity and temperature management over time, across different environments / * not nutrition per se but one site richer than the other (different environments)","Meikle,W.G., J.J. Adamczyk, M. Weiss, A. Gregorc, D.R. Johnson, S.D. Stewart, J. Zawislak, M.J. Carroll, and G.M. Loren",184404,Sublethal Effects of Imidacloprid on Honey Bee Colony Growth and Activity at Three Sites in the U.S,PLoS One11(12): 22 p.,2016,NA
