"CAS_Number","Chemical_Name","Chemical_Grade","Chemical_Analysis_Method","Chemical_Purity_Mean_Op","Chemical_Purity_Mean_","Chemical_Purity_Min_Op","Chemical_Purity_Min_","Chemical_Purity_Max_Op","Chemical_Purity_Max_","Species_Scientific_Name","Species_Common_Name","Species_Group","Organism_Lifestage","Organism_Age_Mean_Op","Organism_Age_Mean","Organism_Age_Min_Op","Organism_Age_Min","Organism_Age_Max_Op","Organism_Age_Max","Organism_Age_Units","Exposure_Type","Media_Type","Test_Location","Number_of_Doses","Conc_1_Type_Author","Conc_1_Mean_Op_Author","Conc_1_Mean_Author","Conc_1_Min_Op_Author","Conc_Min_1_Author","Conc_1_Max_Op_Author","Conc_1_Max_Author","Conc_1_Units_Author","Conc_2_Type_Author","Conc_2_Mean_Op_Author","Conc_2_Mean_Author","Conc_2_Min_Op_Author","Conc_Min_2_Author","Conc_2_Max_Op_Author","Conc_2_Max_Author","Conc_2_Units_Author","Conc_3_Type_Author","Conc_3_Mean_Op_Author","Conc_3_Mean_Author","Conc_3_Min_Op_Author","Conc_Min_3_Author","Conc_3_Max_Op_Author","Conc_3_Max_Author","Conc_3_Units_Author","Effect","Effect_Measurement","Endpoint","Observed_Response_Mean_Op","Observed_Response_Mean","Observed_Response_Min_Op","Observed_Response_Min","Observed_Response_Max_Op","Observed_Response_Max","Result_Statistical_Method","Observed_Response_Value","Observed_Response_Units","Response_Site","Observed_Duration_Op_Days","Observed_Duration_Days","Observed_Duration_Min_Op_Days","Observed_Duration_Min_Days","Observed_Duration_Max_Op_Days","Observed_Duration_Max_Days","Observed_Duration_Units_Days","Author","Reference_Number","Title","Source","Publication_Year","","aq_ter"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","5","Active ingredient","","0.227","","NR","","NR","AI ng/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","0.227","","NR","","NR",NA,NA,"AI ng/org","Not reported","","10","","NR","","NR","Day(s)","Boily,M., B. Sarrasin, C. DeBlois, P. Aras, and M. Chagnon",165449,"Acetylcholinesterase in Honey Bees (Apis mellifera) Exposed to Neonicotinoids, Atrazine and Glyphosate: Laboratory and Field Experiments","Environ. Sci. Pollut. Res. Int.20(8): 5603-5614",2013,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","1","","NR","","NR","Day(s)","Food","No substrate","Lab","6","Formulation","","6.83","","5.12","","8.28","ppm diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","6.83","","5.12","","8.28",NA,NA,"ppm diet","Not reported","","2","","NR","","NR","Day(s)","Wong,M.J., L.H. Liao, and M.R. Berenbaum",184435,"Biphasic Concentration-Dependent Interaction Between Imidacloprid and Dietary Phytochemicals in Honey Bees (Apis mellifera)","PLoS One13(11): 15 p.",2018,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","1","","NR","","NR","Day(s)","Food","No substrate","Lab","6","Formulation","","11.18","","9.48","","12.88","ppm diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","11.18","","9.48","","12.88",NA,NA,"ppm diet","Not reported","","1","","NR","","NR","Day(s)","Wong,M.J., L.H. Liao, and M.R. Berenbaum",184435,"Biphasic Concentration-Dependent Interaction Between Imidacloprid and Dietary Phytochemicals in Honey Bees (Apis mellifera)","PLoS One13(11): 15 p.",2018,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Pure grade","Unmeasured",">","99",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","1","","5","Week(s)","Food","No substrate","Lab","6","Active ingredient","","0.6","","NR","","NR","mg/L diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","0.6","","NR","","NR",NA,NA,"mg/L diet","Not reported","","10","","NR","","NR","Day(s)","Bommuraj,V., Y. Chen, M. Birenboim, S. Barel, and J.A. Shimshoni",186740,"Concentration- and Time-Dependent Toxicity of Commonly Encountered Pesticides and Pesticide Mixtures to Honeybees (Apis mellifera L.)","Chemosphere266:11 p.",2021,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Environmental, unspecified","No substrate","Lab","7","Formulation","","0.09","","0.01","","0.16","ng/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","0.09","","0.01","","0.16",NA,NA,"ng/org","Not reported","","1","","NR","","NR","Day(s)","Pereira,R.C., W.F. Barbosa, M.A.P. Lima, J.O.L.,Jr. Vieira, R.N.C. Guedes, B.K.R. Da Silva, G.M.D. Barbosa, and F.L. Fe",184417,"Toxicity of Botanical Extracts and Their Main Constituents on the Bees Partamona helleri and Apis mellifera","Ecotoxicology29(3): 246-257",2020,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Technical grade, technical product, technical formulation","Unmeasured","","95",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult",">","20","","NR","","NR","Day(s)","Spray, unspecified","No substrate","Lab","'5-6","Active ingredient","","0.0022/","","0.0015/","","0.0026/","% w/v","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","0.0022/","","0.0015/","","0.0026/",NA,NA,"% w/v","Not reported","","1","","NR","","NR","Day(s)","Bailey,J., C. Scott-Dupree, R. Harris, J. Tolman, and B. Harris",102528,"Contact and Oral Toxicity to Honey Bees (Apis mellifera) of Agents Registered for Use for Sweet Corn Insect Control in Ontario, Canada","Apidologie36(4): 623-633",2005,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","4","","6","Day(s)","Spray, unspecified","No substrate","Lab","'7-8","Active ingredient","","118.17","","NR","","NR","AI mg/L","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","118.17","","NR","","NR",NA,NA,"AI mg/L","Not reported","","2","","NR","","NR","Day(s)","Zhu,Y.C., J. Adamczyk, T. Rinderer, J. Yao, R. Danka, R. Luttrell, and J. Gore",180995,"Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae)","J. Econ. Entomol.108(6): 2640-2647",2015,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","7","Formulation","","1.35","","0.98","","2.13","ng/ul diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","1.35","","0.98","","2.13",NA,NA,"ng/ul diet","Not reported","","1","","NR","","NR","Day(s)","Pereira,R.C., W.F. Barbosa, M.A.P. Lima, J.O.L.,Jr. Vieira, R.N.C. Guedes, B.K.R. Da Silva, G.M.D. Barbosa, and F.L. Fe",184417,"Toxicity of Botanical Extracts and Their Main Constituents on the Bees Partamona helleri and Apis mellifera","Ecotoxicology29(3): 246-257",2020,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Pestanal grade","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","21","","NR","","NR","Days post-emergence","Diet, unspecified","No substrate","Lab","10","Active ingredient","","1.465","","NR","","NR","AI ng/ul diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","1.465","","NR","","NR",NA,NA,"AI ng/ul diet","Not reported","","1","","NR","","NR","Day(s)","Catae,A.F., T.C. Roat, M. Pratavieira, A.R.D.S. Menegasso, M.S. Palma, and O. Malaspina",184474,"Exposure to a Sublethal Concentration of Imidacloprid and the Side Effects on Target and Nontarget Organs of Apis mellifera (Hymenoptera, Apidae)","Ecotoxicology27(2): 109-121",2018,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","4","","6","Day(s)","Spray, unspecified","No substrate","Lab","'7-8","Formulation","","552.20","","454.54","","663.32","mg/L","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","552.20","","454.54","","663.32",NA,NA,"mg/L","Not reported","","2","","NR","","NR","Day(s)","Zhu,Y.C., J. Adamczyk, T. Rinderer, J. Yao, R. Danka, R. Luttrell, and J. Gore",180995,"Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae)","J. Econ. Entomol.108(6): 2640-2647",2015,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","11","Active ingredient","","18.9","","15.4","","23.1","AI ng/org/d","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","18.9","","15.4","","23.1",NA,NA,"AI ng/org/d","Not reported","","10","","NR","","NR","Day(s)","Department for Environment Food and Rural Affairs",184753,"Assessment of the Risk Posed to Honeybees by Systemic Pesticides","Project No. PS2322, Department for Environment, Food and Rural Affairs, London, UK:20p.",2007,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Adult","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","11","Active ingredient","","189","","154","","232","AI ng/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","189","","154","","232",NA,NA,"AI ng/org","Not reported","","10","","NR","","NR","Day(s)","Department for Environment Food and Rural Affairs",184753,"Assessment of the Risk Posed to Honeybees by Systemic Pesticides","Project No. PS2322, Department for Environment, Food and Rural Affairs, London, UK:20p.",2007,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","20",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Neonate","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","NR","Active ingredient","","22.78","","14.58","","31.15","AI ng/ul diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","22.78","","14.58","","31.15",NA,NA,"AI ng/ul diet","Not reported","","1","","NR","","NR","Day(s)","Jacob,C.R.O., J.B. Malaquias, O.Z. Zanardi, C.A.S. Silva, J.F.O. Jacob, and P.T. Yamamoto",184482,"Oral Acute Toxicity and Impact of Neonicotinoids on Apis mellifera L. and Scaptotrigona Postica latreille (Hymenoptera: Apidae)","Ecotoxicology28(7): 744-753",2019,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","99.5",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Larva","","NR","","NR","","NR","Not reported","Food","No substrate","Lab","6","Active ingredient","","138.84","","98.20","","196.30","mg/L diet","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50","","138.84","","98.20","","196.30",NA,NA,"mg/L diet","Not reported","","3","","NR","","NR","Day(s)","Dai,P., C.J. Jack, A.N. Mortensen, and J.D. Ellis",175349,"Acute Toxicity of Five Pesticides to Apis mellifera Larvae Reared In Vitro","Pest Manag. Sci.9:5 p.",2017,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Pure grade","Unmeasured",">","99",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","1","","5","Week(s)","Food","No substrate","Lab","11","Active ingredient","","0.08","","NR","","NR","ug/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50/","","0.08","","NR","","NR",NA,NA,"ug/org","Not reported","","2","","NR","","NR","Day(s)","Bommuraj,V., Y. Chen, M. Birenboim, S. Barel, and J.A. Shimshoni",186740,"Concentration- and Time-Dependent Toxicity of Commonly Encountered Pesticides and Pesticide Mixtures to Honeybees (Apis mellifera L.)","Chemosphere266:11 p.",2021,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Pure grade","Unmeasured",">","99",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","1","","5","Week(s)","Food","No substrate","Lab","6","Active ingredient","","0.2","","NR","","NR","ug/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LC50/","","0.2","","NR","","NR",NA,NA,"ug/org","Not reported","","10","","NR","","NR","Day(s)","Bommuraj,V., Y. Chen, M. Birenboim, S. Barel, and J.A. Shimshoni",186740,"Concentration- and Time-Dependent Toxicity of Commonly Encountered Pesticides and Pesticide Mixtures to Honeybees (Apis mellifera L.)","Chemosphere266:11 p.",2021,NA,"Terrestrial"
138261413,"(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine","Not reported","Unmeasured","","NR",NA,"NR",NA,"NR","Apis mellifera","Honey Bee","Insects/Spiders; Standard Test Species; U.S. Invasive Species","Not reported","","NR","","NR","","NR","Not reported","Diet, unspecified","No substrate","Lab","NR","Formulation","","0.038","","0.034","","0.042","ug/org","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Mortality","Mortality","LD20","","0.038","","0.034","","0.042",NA,NA,"ug/org","Not reported","","1","","NR","","NR","Day(s)","Santos,A.C.C., P.F. Cristaldo, A.P.A. Araujo, C.R. Melo, A.P.S. Lima, E.D.R. Santana, B.M.S. De Oliveira, J.W.S. Olivei",184478,"Apis mellifera (Insecta: Hymenoptera) in the Target of Neonicotinoids: A One-Way Ticket? Bioinsecticides can be an Alternative","Ecotoxicol. Environ. Saf.163:28-36",2018,NA,"Terrestrial"
